arch	category	test	oracle	dd	status	dd_exit
arm64	fileio	access01	CONF	CONF	skip	32
arm64	fileio	access02	CONF	CONF	skip	32
arm64	fileio	access03	CONF	CONF	skip	32
arm64	fileio	access04	CONF	CONF	skip	32
arm64	net	bind01	PASS	BROK	DD-GAP	2
arm64	net	bind02	CONF	CONF	skip	32
arm64	mm	brk01	PASS	PASS	ok	0
arm64	mm	brk02	PASS	PASS	ok	0
arm64	time	clock_gettime01	CONF	CONF	skip	32
arm64	time	clock_gettime02	CONF	CONF	skip	32
arm64	time	clock_gettime03	CONF	BROK	skip	2
arm64	proc	clone01	PASS	PASS	TEARDOWN	255
arm64	proc	clone03	PASS	PASS	ok	0
arm64	proc	clone04	PASS	PASS	ok	0
arm64	proc	clone06	PASS	PASS	ok	0
arm64	proc	clone07	PASS	PASS	ok	0
arm64	fileio	close01	PASS	PASS	ok	0
arm64	fileio	close02	PASS	PASS	ok	0
arm64	net	connect01	PASS	FAIL	DD-GAP	255
arm64	fileio	dup01	PASS	PASS	ok	0
arm64	fileio	dup02	PASS	PASS	ok	0
arm64	fileio	dup03	PASS	FAIL	DD-GAP	1
arm64	fileio	dup04	PASS	PASS	ok	0
arm64	fileio	dup05	PASS	PASS	ok	0
arm64	fileio	dup201	PASS	FAIL	DD-GAP	1
arm64	fileio	dup202	PASS	PASS	ok	0
arm64	fileio	dup203	PASS	PASS	ok	0
arm64	fileio	dup3_01	PASS	PASS	ok	0
arm64	poll	epoll_create1_01	PASS	FAIL	DD-GAP	1
arm64	proc	exit_group01	PASS	PASS	TEARDOWN	255
arm64	fileio	faccessat01	PASS	PASS	ok	0
arm64	fileio	fcntl02	PASS	PASS	ok	0
arm64	fileio	fcntl03	PASS	PASS	ok	0
arm64	fileio	fcntl04	PASS	PASS	ok	0
arm64	fileio	fcntl05	PASS	FAIL	DD-GAP	1
arm64	fileio	fcntl08	PASS	PASS	ok	0
arm64	fileio	fcntl13	PASS	FAIL	DD-GAP	1
arm64	proc	fork01	PASS	PASS	TEARDOWN	255
arm64	proc	fork03	PASS	PASS	TEARDOWN	255
arm64	proc	fork04	PASS	BROK	DD-GAP	255
arm64	proc	fork07	PASS	PASS	TEARDOWN	255
arm64	proc	fork08	PASS	PASS	TEARDOWN	255
arm64	proc	fork10	PASS	PASS	TEARDOWN	255
arm64	fileio	fstat02	PASS	PASS	ok	0
arm64	fileio	fstat03	PASS	PASS	TEARDOWN	255
arm64	fileio	getdents01	CONF	CONF	skip	32
arm64	fileio	getdents02	CONF	CONF	skip	32
arm64	misc	getdomainname01	PASS	PASS	ok	0
arm64	proc	getpid01	PASS	PASS	TEARDOWN	255
arm64	proc	getpid02	PASS	PASS	TEARDOWN	255
arm64	proc	getppid01	PASS	PASS	ok	0
arm64	proc	getppid02	PASS	PASS	TEARDOWN	255
arm64	proc	getrlimit01	PASS	PASS	ok	0
arm64	proc	getrlimit02	PASS	BROK	DD-GAP	2
arm64	misc	getrusage01	PASS	PASS	ok	0
arm64	misc	getrusage02	PASS	FAIL	DD-GAP	35
arm64	time	gettimeofday01	PASS	FAIL	DD-GAP	1
arm64	time	gettimeofday02	PASS	PASS	ok	0
arm64	fileio	link02	PASS	BROK	DD-GAP	2
arm64	fileio	link05	PASS	BROK	DD-GAP	2
arm64	fileio	lseek01	PASS	PASS	ok	0
arm64	fileio	lseek02	PASS	PASS	ok	0
arm64	fileio	lseek07	PASS	PASS	ok	0
arm64	fileio	lstat01	PASS	BROK	DD-GAP	6
arm64	fileio	lstat02	PASS	BROK	DD-GAP	2
arm64	mm	madvise01	CONF	CONF	skip	32
arm64	mm	madvise02	CONF	CONF	skip	32
arm64	mm	madvise10	PASS	FAIL	DD-GAP	255
arm64	mm	mincore02	PASS	BROK	DD-GAP	2
arm64	mm	mincore03	PASS	FAIL	DD-GAP	1
arm64	mm	mincore04	PASS	BROK	DD-GAP	255
arm64	fileio	mkdir02	CONF	CONF	skip	32
arm64	fileio	mkdir03	CONF	CONF	skip	32
arm64	fileio	mkdir05	CONF	CONF	skip	32
arm64	mm	mmap01	PASS	PASS	TEARDOWN	255
arm64	mm	mmap02	PASS	PASS	ok	0
arm64	mm	mmap03	PASS	PASS	TEARDOWN	255
arm64	mm	mmap06	PASS	PASS	ok	0
arm64	mm	mmap08	PASS	FAIL	DD-GAP	1
arm64	mm	mmap09	PASS	PASS	ok	0
arm64	mm	mmap12	PASS	FAIL	DD-GAP	1
arm64	mm	mprotect05	PASS	PASS	ok	0
arm64	mm	mremap06	PASS	PASS	ok	0
arm64	mm	mremap07	CONF	BROK	skip	2
arm64	mm	msync04	CONF	CONF	skip	32
arm64	mm	munmap01	PASS	PASS	DD-GAP	255
arm64	mm	munmap03	PASS	FAIL	DD-GAP	1
arm64	time	nanosleep01	PASS	FAIL	DD-GAP	1
arm64	time	nanosleep02	PASS	FAIL	DD-GAP	255
arm64	fileio	openat01	PASS	PASS	ok	0
arm64	signal	pause01	PASS	BROK	DD-GAP	255
arm64	signal	pause02	PASS	BROK	DD-GAP	255
arm64	fileio	pipe2_01	PASS	PASS	ok	0
arm64	poll	poll01	PASS	PASS	ok	0
arm64	poll	poll02	PASS	FAIL	DD-GAP	1
arm64	proc	prctl01	PASS	PASS	ok	0
arm64	proc	prctl02	PASS	FAIL	DD-GAP	1
arm64	proc	prctl03	PASS	FAIL	DD-GAP	255
arm64	fileio	pread01	PASS	PASS	ok	0
arm64	fileio	pread02	PASS	PASS	ok	0
arm64	poll	pselect01	PASS	FAIL	DD-GAP	1
arm64	poll	pselect03	PASS	PASS	ok	0
arm64	fileio	pwrite01	PASS	PASS	ok	0
arm64	fileio	pwrite02	PASS	PASS	ok	0
arm64	fileio	pwrite03	PASS	PASS	ok	0
arm64	fileio	read01	PASS	PASS	ok	0
arm64	fileio	read02	PASS	FAIL	DD-GAP	1
arm64	fileio	read03	PASS	PASS	ok	0
arm64	fileio	read04	PASS	PASS	ok	0
arm64	fileio	readlink01	CONF	CONF	skip	32
arm64	fileio	readlink03	CONF	CONF	skip	32
arm64	fileio	rename01	CONF	CONF	skip	32
arm64	signal	rt_sigqueueinfo01	CONF	CONF	skip	32
arm64	misc	sched_getaffinity01	PASS	FAIL	DD-GAP	1
arm64	poll	select01	PASS	FAIL	DD-GAP	33
arm64	poll	select02	BROK	FAIL	skip	124
arm64	net	sendto02	PASS	CONF	DD-GAP	32
arm64	proc	setrlimit02	CONF	CONF	skip	32
arm64	proc	setrlimit03	CONF	CONF	skip	32
x86_64	fileio	access01	CONF	CONF	skip	32
x86_64	mm	brk01	PASS	FAIL	DD-GAP	1
x86_64	time	clock_gettime01	CONF	CONF	skip	32
x86_64	fileio	close01	PASS	PASS	ok	0
x86_64	fileio	dup01	PASS	PASS	ok	0
x86_64	fileio	dup201	PASS	FAIL	DD-GAP	1
x86_64	poll	epoll_create1_01	PASS	FAIL	DD-GAP	1
x86_64	proc	exit_group01	PASS	PASS	TEARDOWN	255
x86_64	fileio	fcntl02	PASS	PASS	ok	0
x86_64	proc	fork01	PASS	PASS	TEARDOWN	255
x86_64	fileio	fstat02	PASS	PASS	ok	0
x86_64	fileio	getdents01	CONF	CONF	skip	32
x86_64	misc	getdomainname01	PASS	PASS	ok	0
x86_64	proc	getpid01	PASS	PASS	TEARDOWN	255
x86_64	proc	getppid01	PASS	PASS	ok	0
x86_64	proc	getrlimit01	PASS	PASS	ok	0
x86_64	misc	getrusage01	PASS	PASS	ok	0
x86_64	time	gettimeofday01	PASS	BROK	DD-GAP	2
x86_64	fileio	lseek01	PASS	PASS	ok	0
x86_64	mm	madvise01	CONF	CONF	skip	32
x86_64	mm	mincore03	PASS	FAIL	DD-GAP	1
x86_64	fileio	mkdir02	CONF	CONF	skip	32
x86_64	mm	mmap02	PASS	PASS	ok	0
x86_64	mm	mprotect05	PASS	PASS	ok	0
x86_64	mm	munmap03	PASS	FAIL	DD-GAP	1
x86_64	fileio	openat01	PASS	PASS	ok	0
x86_64	proc	prctl01	PASS	PASS	ok	0
x86_64	fileio	read01	PASS	PASS	ok	0
x86_64	fileio	read02	PASS	FAIL	DD-GAP	1
x86_64	fileio	readlink01	CONF	CONF	skip	32
