path	classification	evidence
.github/FUNDING.yml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
.github/workflows/pages.yml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
.github/workflows/release.yml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
.github/workflows/smoke.yml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
.gitignore	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
Cargo.lock	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
LICENSE	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
Makefile	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
README.md	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
assets/images/hello-dd/rootfs/bin/sh	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
assets/images/hello-dd/rootfs/etc/hosts	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
assets/logo.png	KEEP_ASSET_OR_TOOL	published/test asset or documented manual tool
dd-compositor/Cargo.toml	KEEP_BUILD_OR_PACKAGE	workspace/build/package/CI/legal input
dd-compositor/src/gpu.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/compositor.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/content_type.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/dmabuf.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/idle_inhibit.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/keyboard_shortcuts_inhibit.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/mod.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/output.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/pointer_gestures.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/scale.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/seat.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/tablet.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/text_input.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/xdg.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
dd-compositor/src/handlers/xdg_foreign.rs	KEEP_REACHABLE_SOURCE	module/export/build graph consumer found
