2026-06-24 01:44:32 startup archives unpack
2026-06-24 01:44:32 install netbase:all <none> 6.4
2026-06-24 01:44:32 status half-installed netbase:all 6.4
2026-06-24 01:44:32 status unpacked netbase:all 6.4
2026-06-24 01:44:32 install readline-common:all <none> 8.2-1.3
2026-06-24 01:44:32 status half-installed readline-common:all 8.2-1.3
2026-06-24 01:44:32 status unpacked readline-common:all 8.2-1.3
2026-06-24 01:44:32 install libssl3:arm64 <none> 3.0.20-1~deb12u2
2026-06-24 01:44:32 status triggers-pending libc-bin:arm64 2.36-9+deb12u14
2026-06-24 01:44:32 status half-installed libssl3:arm64 3.0.20-1~deb12u2
2026-06-24 01:44:32 status unpacked libssl3:arm64 3.0.20-1~deb12u2
2026-06-24 01:44:32 install openssl:arm64 <none> 3.0.20-1~deb12u2
2026-06-24 01:44:32 status half-installed openssl:arm64 3.0.20-1~deb12u2
2026-06-24 01:44:32 status unpacked openssl:arm64 3.0.20-1~deb12u2
2026-06-24 01:44:32 install ca-certificates:all <none> 20230311+deb12u1
2026-06-24 01:44:32 status half-installed ca-certificates:all 20230311+deb12u1
2026-06-24 01:44:32 status unpacked ca-certificates:all 20230311+deb12u1
2026-06-24 01:44:32 install libpsl5:arm64 <none> 0.21.2-1
2026-06-24 01:44:32 status half-installed libpsl5:arm64 0.21.2-1
2026-06-24 01:44:32 status unpacked libpsl5:arm64 0.21.2-1
2026-06-24 01:44:32 install wget:arm64 <none> 1.21.3-1+deb12u1
2026-06-24 01:44:32 status half-installed wget:arm64 1.21.3-1+deb12u1
2026-06-24 01:44:32 status unpacked wget:arm64 1.21.3-1+deb12u1
2026-06-24 01:44:32 install libbrotli1:arm64 <none> 1.0.9-2+b6
2026-06-24 01:44:32 status half-installed libbrotli1:arm64 1.0.9-2+b6
2026-06-24 01:44:32 status unpacked libbrotli1:arm64 1.0.9-2+b6
2026-06-24 01:44:32 install libkrb5support0:arm64 <none> 1.20.1-2+deb12u5
2026-06-24 01:44:32 status half-installed libkrb5support0:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:32 status unpacked libkrb5support0:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:32 install libk5crypto3:arm64 <none> 1.20.1-2+deb12u5
2026-06-24 01:44:32 status half-installed libk5crypto3:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:32 status unpacked libk5crypto3:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:32 install libkeyutils1:arm64 <none> 1.6.3-2
2026-06-24 01:44:32 status half-installed libkeyutils1:arm64 1.6.3-2
2026-06-24 01:44:32 status unpacked libkeyutils1:arm64 1.6.3-2
2026-06-24 01:44:32 install libkrb5-3:arm64 <none> 1.20.1-2+deb12u5
2026-06-24 01:44:32 status half-installed libkrb5-3:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:33 status unpacked libkrb5-3:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:33 install libgssapi-krb5-2:arm64 <none> 1.20.1-2+deb12u5
2026-06-24 01:44:33 status half-installed libgssapi-krb5-2:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:33 status unpacked libgssapi-krb5-2:arm64 1.20.1-2+deb12u5
2026-06-24 01:44:33 install libsasl2-modules-db:arm64 <none> 2.1.28+dfsg-10
2026-06-24 01:44:33 status half-installed libsasl2-modules-db:arm64 2.1.28+dfsg-10
2026-06-24 01:44:33 status unpacked libsasl2-modules-db:arm64 2.1.28+dfsg-10
2026-06-24 01:44:33 install libsasl2-2:arm64 <none> 2.1.28+dfsg-10
2026-06-24 01:44:33 status half-installed libsasl2-2:arm64 2.1.28+dfsg-10
2026-06-24 01:44:33 status unpacked libsasl2-2:arm64 2.1.28+dfsg-10
2026-06-24 01:44:33 install libldap-2.5-0:arm64 <none> 2.5.13+dfsg-5
2026-06-24 01:44:33 status half-installed libldap-2.5-0:arm64 2.5.13+dfsg-5
2026-06-24 01:44:33 status unpacked libldap-2.5-0:arm64 2.5.13+dfsg-5
2026-06-24 01:44:33 install libnghttp2-14:arm64 <none> 1.52.0-1+deb12u3
2026-06-24 01:44:33 status half-installed libnghttp2-14:arm64 1.52.0-1+deb12u3
2026-06-24 01:44:33 status unpacked libnghttp2-14:arm64 1.52.0-1+deb12u3
2026-06-24 01:44:33 install librtmp1:arm64 <none> 2.4+20151223.gitfa8646d.1-2+b2
2026-06-24 01:44:33 status half-installed librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2026-06-24 01:44:33 status unpacked librtmp1:arm64 2.4+20151223.gitfa8646d.1-2+b2
2026-06-24 01:44:33 install libssh2-1:arm64 <none> 1.10.0-3+b1
2026-06-24 01:44:33 status half-installed libssh2-1:arm64 1.10.0-3+b1
2026-06-24 01:44:33 status unpacked libssh2-1:arm64 1.10.0-3+b1
2026-06-24 01:44:33 install libcurl4:arm64 <none> 7.88.1-10+deb12u14
2026-06-24 01:44:33 status half-installed libcurl4:arm64 7.88.1-10+deb12u14
2026-06-24 01:44:33 status unpacked libcurl4:arm64 7.88.1-10+deb12u14
2026-06-24 01:44:33 install curl:arm64 <none> 7.88.1-10+deb12u14
2026-06-24 01:44:33 status half-installed curl:arm64 7.88.1-10+deb12u14
2026-06-24 01:44:33 status unpacked curl:arm64 7.88.1-10+deb12u14
2026-06-24 01:44:33 install libassuan0:arm64 <none> 2.5.5-5
2026-06-24 01:44:33 status half-installed libassuan0:arm64 2.5.5-5
2026-06-24 01:44:33 status unpacked libassuan0:arm64 2.5.5-5
2026-06-24 01:44:33 install libreadline8:arm64 <none> 8.2-1.3
2026-06-24 01:44:33 status half-installed libreadline8:arm64 8.2-1.3
2026-06-24 01:44:33 status unpacked libreadline8:arm64 8.2-1.3
2026-06-24 01:44:33 install gpgconf:arm64 <none> 2.2.40-1.1+deb12u2
2026-06-24 01:44:33 status half-installed gpgconf:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:33 status unpacked gpgconf:arm64 2.2.40-1.1+deb12u2
2026-06-24 01:44:33 install libksba8:arm64 <none> 1.6.3-2
2026-06-24 01:44:33 status half-installed libksba8:arm64 1.6.3-2
