arm64	x86_64	name	status	arm64_status	x86_64_status
0	206	io_setup	supported	supported	supported
1	207	io_destroy	supported	supported	supported
2	209	io_submit	supported	supported	supported
3	210	io_cancel	supported	supported	supported
4	208	io_getevents	supported	supported	supported
5	188	setxattr	router-domain-only	router-domain-only	router-domain-only
6	189	lsetxattr	router-domain-only	router-domain-only	router-domain-only
7	190	fsetxattr	router-domain-only	router-domain-only	router-domain-only
8	191	getxattr	router-domain-only	router-domain-only	router-domain-only
9	192	lgetxattr	router-domain-only	router-domain-only	router-domain-only
10	193	fgetxattr	router-domain-only	router-domain-only	router-domain-only
11	194	listxattr	router-domain-only	router-domain-only	router-domain-only
12	195	llistxattr	router-domain-only	router-domain-only	router-domain-only
13	196	flistxattr	router-domain-only	router-domain-only	router-domain-only
14	197	removexattr	router-domain-only	router-domain-only	router-domain-only
15	198	lremovexattr	router-domain-only	router-domain-only	router-domain-only
16	199	fremovexattr	router-domain-only	router-domain-only	router-domain-only
17	79	getcwd	supported	supported	supported
18	212	lookup_dcookie	missing	missing	missing
19	290	eventfd2	supported	supported	supported
20	291	epoll_create1	supported	supported	supported
21	233	epoll_ctl	supported	supported	supported
22	281	epoll_pwait	router-domain-only	router-domain-only	router-domain-only
23	32	dup	supported	supported	supported
24	33	dup2	missing	missing	supported
24	292	dup3	supported	supported	supported
25	72	fcntl	supported	supported	supported
26	294	inotify_init1	supported	supported	supported
27	254	inotify_add_watch	supported	supported	supported
28	255	inotify_rm_watch	supported	supported	supported
29	16	ioctl	supported	supported	supported
30	251	ioprio_set	missing	missing	missing
31	252	ioprio_get	missing	missing	missing
32	73	flock	supported	supported	supported
33	259	mknodat	router-domain-only	router-domain-only	router-domain-only
34	258	mkdirat	supported	supported	supported
35	263	unlinkat	supported	supported	supported
36	266	symlinkat	supported	supported	supported
37	265	linkat	supported	supported	supported
38	264	renameat	supported	supported	supported
39	166	umount2	missing	missing	missing
40	165	mount	missing	missing	missing
41	155	pivot_root	missing	missing	missing
42	180	nfsservctl	missing	missing	missing
43	137	statfs	supported	supported	supported
44	138	fstatfs	supported	supported	supported
45	76	truncate	supported	supported	supported
46	77	ftruncate	supported	supported	supported
47	285	fallocate	supported	supported	supported
48	269	faccessat	supported	supported	supported
49	80	chdir	router-domain-only	router-domain-only	router-domain-only
