source_revision	source	destination	tranche	disposition	conflict
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	core/activation.c	src/core/activation.c	standalone	import_unwired	Rust owns product activation; do not select from production yet
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	core/cli.c	src/core/cli.c	standalone	import_unwired	Rust owns product CLI
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	core/cli.h	src/core/cli.h	standalone	import_unwired	Rust owns product CLI
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	core/config.c	src/core/config.c	standalone	import_unwired	Must not read product configuration directly
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	core/environment.c	src/core/environment.c	standalone	import_unwired	Rust owns environment construction
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	core/environment.h	src/core/environment.h	standalone	import_unwired	Rust owns environment construction
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	core/launch.c	src/core/launch.c	standalone	import_unwired	Rust owns launch and lifecycle
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	core/launch.h	src/core/launch.h	standalone	import_unwired	Rust owns launch and lifecycle
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	core/target/run.c	src/core/target/run.c	x86_closure	import_adapt	Route through retained host services and Rust lifecycle
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	core/target/x86_64.c	src/core/target/x86_64.c	x86_closure	import_adapt	Replace logical-VMA ownership with retained boundary
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	translator/guest/aarch64/interp.c	src/translator/guest/aarch64/interp.c	a64_interpreter	import_adapt	Rust remains architectural-state and fault authority
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	translator/guest/aarch64/interp_dispatch.h	src/translator/guest/aarch64/interp_dispatch.h	a64_interpreter	import	Generated dispatch companion
7b7bddddfe7fc32f98a74579f38ee92b3a76fcdc	translator/guest/x86_64/abi.h	src/translator/guest/x86_64/abi.h	x86_closure	import	Guest ABI
